Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Alliance Pipeline Ltd.,Taylor Compressor Station," 22,947 ", -   , -   ," 1,077 ", 658 , -   , -   , -   , -   ," 24,682 "
Alliance Pipeline Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)", 400 , -   , -   , 22 , 567 , -   , -   , -   , -   , 989 
AltaGas Ltd.,Blair Creek Comp Stn D-058-F," 8,752 ", -   , -   , 58 ," 1,857 ", -   , -   , -   , -   ," 10,666 "
AltaGas Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 2,084 ", -   ," 6,118 ", -   ," 1,151 ", -   , -   , -   , -   ," 9,354 "
Apache Canada Ltd.,Horn River Drillings and Completions," 10,852 ", -   , -   , 367 , 761 , -   , -   , -   , -   ," 11,980 "
Apache Canada Ltd.,Missile Facility," 13,254 ", -   , -   , 250 ," 1,634 ", -   , -   , -   , -   ," 15,138 "
Apache Canada Ltd.,Noel 7707," 5,651 ", -   ," 1,987 ", 165 ," 2,486 ", -   , -   , -   , -   ," 10,290 "
Apache Canada Ltd.,Noel 7729," 7,523 ", -   ," 3,160 "," 2,715 "," 2,845 ", -   , -   , -   , -   ," 16,243 "
Apache Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 41,036 ", -   ," 11,600 "," 3,061 "," 8,369 ", -   , -   , -   , -   ," 64,066 "
ARC Resources,Dawson Comp Stn 01-34," 15,518 ", -   ," 1,138 ", 17 ," 3,094 ", -   , -   , -   , -   ," 19,767 "
ARC Resources,Dawson Sour Gas Plant 05-35," 13,506 ", -   ," 4,466 ", 34 , 479 , -   , -   , -   , -   ," 18,486 "
ARC Resources,Parkland Comp Stn 08-13," 24,473 ", -   , 284 , 371 ," 2,836 ", -   , -   , -   , -   ," 27,964 "
ARC Resources,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 26,324 ", -   ," 34,119 "," 22,384 "," 13,843 ", -   , -   , -   , -   ," 96,670 "
Aux Sable Canada L.P.,Septimus Sweet Gas Plant 12-27," 24,205 ", -   , 504 , -   , 919 , -   , -   , -   , -   ," 25,628 "
Aux Sable Canada L.P.,"BC Aggregated Facilities (E < 10,000 tCO2e each)", -   , -   , -   , 30 , 142 , -   , -   , -   , -   , 172 
Baytex Energy,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 17,627 ", -   ," 1,684 ", 10 , 334 , -   , -   , -   , -   ," 19,655 "
Bonavista Energy Corporation,Nig Creek A-94-B/94-H-4," 10,631 ", -   , 722 , 736 , 968 , -   , -   , -   , -   ," 13,057 "
Bonavista Energy Corporation,Umback D-36," 7,990 ", -   , 149 ," 3,819 ", 205 , -   , -   , -   , -   ," 12,164 "
Bonavista Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 30,969 ", -   ," 2,547 "," 7,039 "," 6,792 ", -   , -   , -   , -   ," 47,347 "
British Columbia Hydro and Power Authority,Burrard Generating Station," 20,739 ", -   , -   , -   , -   , 3 , -   , -   , -   ," 20,742 "
British Columbia Hydro and Power Authority,Fort Nelson Generating Station," 121,277 ", -   , -   , -   , -   , 1 , -   , -   , -   ," 121,278 "
British Columbia Hydro and Power Authority,Masset Diesel Generating Station," 19,311 ", -   , -   , -   , -   , 1 , -   , -   , -   ," 19,311 "
British Columbia Hydro and Power Authority,"BC Aggregated Facilities (E < 10,000 tCO2e each)", -   , -   , -   , -   ," 27,828 ", -   , -   , -   , -   ," 27,828 "
Canadian Autoparts Toyota Inc.,Canadian Autoparts Toyota Facility," 14,934 ", -   , -   , -   , -   , 112 , -   , -   , -   ," 15,046 "
Canadian Forest Products Ltd.,Canfor Taylor Pulp," 60,437 ", -   , -   , -   , -   , 881 , -   , -   , -   ," 61,318 "
Canadian Forest Products Ltd.,Plateau Sawmill," 6,098 ", -   , -   , -   , -   ," 2,915 "," 1,242 ", -   , -   ," 10,255 "
Canadian Forest Products Ltd.,Prince George Sawmill," 4,308 ", -   , -   , -   , -   ," 2,117 ", -   , -   , -   ," 6,425 "
Canadian Natural Resources Limited,Adsett Comp Stn D-053-G," 13,436 ", -   , 112 , 103 ," 2,788 ", -   , -   , -   , -   ," 16,438 "
Canadian Natural Resources Limited,Babcock Comp Stn D-099-E," 9,323 ", -   ," 1,105 ", 10 ," 1,977 ", -   , -   , -   , -   ," 12,415 "
Canadian Natural Resources Limited,Buckinghorse Comp Stn D-044-A," 8,280 ", -   , 342 , 157 ," 1,478 ", -   , -   , -   , -   ," 10,256 "
Canadian Natural Resources Limited,Buick South Comp Stn D-078-I," 13,910 ", -   , -   , 7 ," 2,780 ", -   , -   , -   , -   ," 16,697 "
Canadian Natural Resources Limited,Cypress B-099-C Sour Gas Plant," 9,008 ", -   ," 1,513 "," 2,110 ", -   , -   , -   , -   , -   ," 12,631 "
Canadian Natural Resources Limited,Graham Comp Stn C-076-K," 12,987 ", -   , 48 , 75 ," 3,145 ", -   , -   , -   , -   ," 16,255 "
Canadian Natural Resources Limited,Helmet North Comp Stn A-013-F," 27,115 ", -   , -   , -   ," 1,774 ", -   , -   , -   , -   ," 28,888 "
Canadian Natural Resources Limited,Jedney Comp Stn A-062-E," 9,411 ", -   , 27 , 216 ," 3,295 ", -   , -   , -   , -   ," 12,948 "
Canadian Natural Resources Limited,July Lake Comp Stn A-071-G," 19,190 ", -   , -   , 864 ," 2,368 ", -   , -   , -   , -   ," 22,422 "
Canadian Natural Resources Limited,Kimea Comp Stn D-031-D," 8,174 ", -   ," 1,644 ", 768 ," 1,308 ", -   , -   , -   , -   ," 11,894 "
Canadian Natural Resources Limited,Ladyfern B-017-I Gas Plant," 20,716 ", -   ," 2,181 ", 263 , 461 , -   , -   , -   , -   ," 23,621 "
Canadian Natural Resources Limited,Ladyfern Comp Stn B-088-H," 10,771 ", -   , -   , 150 ," 5,291 ", -   , -   , -   , -   ," 16,212 "
Canadian Natural Resources Limited,Milligan Comp Stn B-063-G," 7,395 ", -   , 572 , 36 ," 2,596 ", -   , -   , -   , -   ," 10,600 "
Canadian Natural Resources Limited,Murray River Comp Stn C-033-J," 20,701 ", -   ," 4,514 ", -   ," 3,183 ", -   , -   , -   , -   ," 28,398 "
Canadian Natural Resources Limited,Peggo East Comp Stn A-072-C," 7,908 ", -   , -   , 53 ," 2,222 ", -   , -   , -   , -   ," 10,182 "
Canadian Natural Resources Limited,Stoddart 02-34 Sour Gas Plant," 58,916 ", -   ," 10,812 ", -   , 787 , -   , -   , -   , -   ," 70,516 "
Canadian Natural Resources Limited,Velma Comp Stn B-088-D," 7,615 ", -   , 108 , 357 ," 2,674 ", -   , -   , -   , -   ," 10,753 "
Canadian Natural Resources Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 398,079 ", -   ," 24,840 "," 152,515 "," 311,153 ", -   , -   , -   , -   ," 886,587 "
Canexus Chemicals Canada Limited Partnership,North Vancouver Chlor-alkali Facility," 12,772 ", -   , -   , -   , -   , 138 , -   , -   , -   ," 12,910 "
Canfor Pulp Limited Partnership,Northwood Pulp Mill," 146,024 "," 9,256 ", -   , -   , -   ," 3,515 ", -   , -   , -   ," 158,795 "
Canfor Pulp Limited Partnership,Prince George Pulp and Paper and Intercontinental Pulp Mills," 116,178 "," 10,245 ", -   , -   , -   ," 3,244 ", -   , -   , -   ," 129,667 "
Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Facility," 76,667 "," 6,324 ", -   , -   , -   ," 2,802 ", -   , -   , -   ," 85,793 "
Catalyst Paper Corporation,Crofton Division," 100,026 "," 7,100 ", -   , -   , -   ," 3,380 "," 39,202 ", -   , -   ," 149,708 "
Catalyst Paper Corporation,Port Alberni Division," 34,413 ", -   , -   , -   , -   ," 1,081 ", -   , -   , -   ," 35,494 "
Catalyst Paper Corporation,Powell River Division," 45,248 ", -   , -   , -   , -   ," 1,168 ", -   , -   , -   ," 46,416 "
Central Global Resources ULC,Pickell Facility," 6,728 ", -   , 866 ," 4,313 "," 2,903 ", -   , -   , -   , -   ," 14,810 "
Central Global Resources ULC,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 1,519 ", -   ," 1,260 "," 4,232 "," 1,678 ", -   , -   , -   , -   ," 8,690 "
Central Heat Distribution Limited,Central Heat Distribution Facility," 99,787 ", -   , -   , -   , -   , -   , -   , -   , -   ," 99,787 "
CertainTeed Gypsum Canada Inc.,Vancouver Wallboard Plant," 17,801 ", -   , -   , -   , -   , 213 , -   , -   , -   ," 18,014 "
Chemical Lime of Canada,Langley Plant, -   , -   , -   , -   , -   , 125 , -   , -   ," 67,871 "," 67,997 "
Chevron Canada Limited,Burnaby Refinery," 289,522 "," 181,716 "," 14,092 ", -   , 236 ," 1,063 ", -   , 133 , -   ," 486,762 "
Chinook Energy Inc.,Boundary Lake 8-12," 10,092 ", -   , -   , 378 ," 1,334 ", -   , -   , -   , -   ," 11,804 "
